world;step_dist;cycle_time;leg_y;body_height_down;body_height_up;orient;exec_time;mean_velocity
plain;0.90000;1.00000;0.25000;0.30000;0.20000;3.92699;3.07400;0.32531;
plain;0.90000;1.00000;0.25000;0.30000;0.20000;3.53429;3.16900;0.31556;
plain;0.90000;1.00000;0.25000;0.30000;0.20000;5.10509;3.04800;0.32808;
plain;0.90000;1.00000;0.25000;0.26000;0.20000;2.74889;3.07800;0.32489;
plain;0.90000;1.00000;0.25000;0.26000;0.20000;0.78540;3.67800;0.27189;
plain;0.90000;1.00000;0.25000;0.26000;0.20000;2.35619;3.07800;0.32489;
plain;0.90000;1.00000;0.25000;0.26000;0.20000;0.39270;3.72800;0.26824;
plain;0.90000;1.00000;0.25000;0.26000;0.20000;5.89049;3.12700;0.31980;
plain;0.90000;1.00000;0.25000;0.26000;0.20000;1.17810;3.10500;0.32206;
plain;0.90000;1.00000;0.25000;0.26000;0.20000;0.00000;3.24400;0.30826;
plain;0.90000;1.00000;0.25000;0.26000;0.20000;1.57080;3.71000;0.26954;
plain;0.90000;1.00000;0.25000;0.26000;0.20000;4.71239;3.17500;0.31496;
plain;0.90000;1.00000;0.25000;0.26000;0.20000;1.96350;3.68300;0.27152;
plain;0.90000;1.00000;0.25000;0.26000;0.20000;4.31969;3.10300;0.32227;
plain;0.90000;1.00000;0.25000;0.26000;0.20000;3.14159;3.81400;0.26219;
plain;0.90000;1.00000;0.25000;0.26000;0.20000;5.49779;3.07300;0.32541;
ramp5;0.90000;1.00000;0.25000;0.30000;0.20000;5.89049;3.07200;0.32552;
ramp5;0.90000;1.00000;0.25000;0.30000;0.20000;2.35619;3.70800;0.26969;
ramp5;0.90000;1.00000;0.25000;0.30000;0.20000;0.00000;3.82500;0.26144;
ramp5;0.90000;1.00000;0.25000;0.30000;0.20000;0.78540;3.02200;0.33091;
ramp5;0.90000;1.00000;0.25000;0.30000;0.20000;0.39270;3.14000;0.31847;
ramp5;0.90000;1.00000;0.25000;0.30000;0.20000;5.10509;3.03900;0.32906;
ramp5;0.90000;1.00000;0.25000;0.30000;0.20000;3.92699;3.70100;0.27020;
